"","probability_first_option_wins","size","probability"
"1",0.26,12,0.215226013377043
"2",0.26,16,0.224269534697721
"3",0.26,20,0.23176462464073
"4",0.26,24,0.238087528262731
"5",0.26,28,0.24356797883559
"6",0.26,32,0.248422021666575
"7",0.26,36,0.252792895832797
"8",0.26,40,0.256779991844189
"9",0.26,44,0.260455009659368
"10",0.26,48,0.263871290642844
"11",0.26,52,0.26706953764547
"12",0.26,56,0.270081485496978
"13",0.26,60,0.272932339991919
"14",0.26,64,0.275642446364806
"15",0.26,68,0.278228459976705
"16",0.26,72,0.280704186339069
"17",0.26,76,0.283081195982968
"18",0.26,80,0.285369282579743
"19",0.26,84,0.287576809745809
"20",0.26,88,0.289710977368837
"21",0.26,92,0.29177802880074
"22",0.26,96,0.293783413959215
"23",0.26,100,0.295731919110191
"24",0.26,104,0.297627771160957
"25",0.26,108,0.299474722233887
"26",0.26,112,0.301276118825021
"27",0.26,116,0.303034958796682
"28",0.26,120,0.304753938683069
"29",0.26,124,0.306435493217636
"30",0.26,128,0.308081828568443
"31",0.26,132,0.309694950445814
"32",0.26,136,0.311276688002952
"33",0.26,140,0.312828714264716
"34",0.26,144,0.314352563671326
"35",0.26,148,0.315849647214857
"36",0.26,152,0.317321265552985
"37",0.26,156,0.318768620417632
"38",0.26,160,0.320192824577769
"39",0.26,164,0.321594910570745
"40",0.26,168,0.322975838381821
"41",0.26,172,0.324336502219765
"42",0.26,176,0.325677736513925
"43",0.26,180,0.327000321238501
"44",0.26,184,0.328304986651253
"45",0.26,188,0.329592417525124
"46",0.26,192,0.330863256933732
"47",0.26,196,0.332118109648921
"48",0.26,200,0.333357545195022
"49",0.26,204,0.334582100602854
"50",0.26,208,0.335792282896222
"51",0.26,212,0.336988571343943
"52",0.26,216,0.338171419500916
"53",0.26,220,0.339341257064401
"54",0.26,224,0.340498491563203
"55",0.26,228,0.341643509898428
"56",0.26,232,0.342776679750929
"57",0.26,236,0.34389835087065
"58",0.26,240,0.345008856255747
"59",0.26,244,0.346108513238763
"60",0.26,248,0.34719762448133
"61",0.26,252,0.348276478893416
"62",0.26,256,0.349345352478861
"63",0.26,260,0.350404509116211
"64",0.26,264,0.351454201281469
"65",0.26,268,0.352494670716649
"66",0.26,272,0.353526149049058
"67",0.26,276,0.354548858365998
"68",0.26,280,0.355563011749459
"69",0.26,284,0.356568813772215
"70",0.26,288,0.357566460960312
"71",0.26,292,0.358556142224304
"72",0.26,296,0.359538039260793
"73",0.26,300,0.360512326928428
"74",0.26,304,0.361479173598969
