"","probability_first_option_wins","size","probability"
"1",0.34,12,0.317797578327404
"2",0.34,13,0.319993874835316
"3",0.34,14,0.321990901662605
"4",0.34,15,0.323873125015723
"5",0.34,16,0.32562918411775
"6",0.34,17,0.327288333051419
"7",0.34,18,0.328855833320594
"8",0.34,19,0.330345241168914
"9",0.34,20,0.33176344912908
"10",0.34,21,0.333118500181402
"11",0.34,22,0.33441618901727
"12",0.34,23,0.335662034538542
"13",0.34,24,0.336860561321585
"14",0.34,25,0.338015844183718
"15",0.34,26,0.339131395490658
"16",0.34,27,0.340210344150854
"17",0.34,28,0.341255448264408
"18",0.34,29,0.342269171063373
"19",0.34,30,0.343253711315406
"20",0.34,31,0.344211044565588
"21",0.34,32,0.345142949785047
"22",0.34,33,0.346051035696587
"23",0.34,34,0.346936761144611
"24",0.34,35,0.347801453380374
"25",0.34,36,0.348646323231901
"26",0.34,37,0.349472478369829
"27",0.34,38,0.350280934640572
"28",0.34,39,0.351072625942898
"29",0.34,40,0.35184841279139
"30",0.34,41,0.352609089806649
"31",0.34,42,0.35335539227094
"32",0.34,43,0.354088001894237
"33",0.34,44,0.354807551897195
"34",0.34,45,0.355514631507945
"35",0.34,46,0.356209789950307
"36",0.34,47,0.356893539991712
"37",0.34,48,0.357566361106826
"38",0.34,49,0.358228702306436
"39",0.34,50,0.358880984672448
"40",0.34,51,0.359523603635149
"41",0.34,52,0.36015693102333
"42",0.34,53,0.360781316913952
"43",0.34,54,0.361397091304196
"44",0.34,55,0.362004565626132
"45",0.34,56,0.362604034121231
"46",0.34,57,0.363195775090143
"47",0.34,58,0.363780052030909
"48",0.34,59,0.364357114677338
"49",0.34,60,0.36492719994806
"50",0.34,61,0.365490532814897
"51",0.34,62,0.36604732709914
"52",0.34,63,0.366597786202416
"53",0.34,64,0.367142103778473
"54",0.34,65,0.367680464351815
"55",0.34,66,0.368213043887924
"56",0.34,67,0.36874001031948
"57",0.34,68,0.36926152403282
"58",0.34,69,0.369777738317992
"59",0.34,70,0.370288799785673
"60",0.34,71,0.370794848753966
"61",0.34,72,0.371296019607303
"62",0.34,73,0.371792441130269
"63",0.34,74,0.372284236818148
"64",0.34,75,0.372771525166207
"65",0.34,76,0.373254419939257
"66",0.34,77,0.373733030423417
"67",0.34,78,0.374207461661239
"68",0.34,79,0.374677814671532
"69",0.34,80,0.375144186655123
"70",0.34,81,0.375606671187339
"71",0.34,82,0.37606535839897
"72",0.34,83,0.376520335145488
"73",0.34,84,0.376971685166381
"74",0.34,85,0.37741948923455
"75",0.34,86,0.377863825297017
"76",0.34,87,0.378304768607302
"77",0.34,88,0.378742391850007
"78",0.34,89,0.379176765258438
"79",0.34,90,0.379607956725389
"80",0.34,91,0.380036031907647
"81",0.34,92,0.380461054324846
"82",0.34,93,0.380883085452849
"83",0.34,94,0.38130218481204
"84",0.34,95,0.381718410050797
"85",0.34,96,0.382131817024678
"86",0.34,97,0.382542459871222
"87",0.34,98,0.382950391081137
"88",0.34,99,0.383355661565662
"89",0.34,100,0.383758320720402
"90",0.34,101,0.384158416486165
