"","probability_first_option_wins","size","probability"
"1",0.34,12,0.29500658473605
"2",0.34,15,0.301300850238237
"3",0.34,18,0.306510823088063
"4",0.34,21,0.310957642446494
"5",0.34,24,0.314841274160247
"6",0.34,27,0.318293653309647
"7",0.34,30,0.321405951011785
"8",0.34,33,0.324243586379767
"9",0.34,36,0.326854978534653
"10",0.34,39,0.329276904518621
"11",0.34,42,0.33153791772772
"12",0.34,45,0.333660607049739
"13",0.34,48,0.335663135703223
"14",0.34,51,0.337560317291202
"15",0.34,54,0.339364385705556
"16",0.34,57,0.341085557237777
"17",0.34,60,0.34273244841286
"18",0.34,63,0.344312391600582
"19",0.34,66,0.345831676875584
"20",0.34,69,0.34729573979023
"21",0.34,72,0.348709308891082
"22",0.34,75,0.350076522866206
"23",0.34,78,0.351401024498843
"24",0.34,81,0.352686036706592
"25",0.34,84,0.353934424599161
"26",0.34,87,0.355148746519375
"27",0.34,90,0.356331296325222
"28",0.34,93,0.357484138651534
"29",0.34,96,0.358609138500099
"30",0.34,99,0.359707986215935
"31",0.34,102,0.360782218684209
"32",0.34,105,0.36183323741207
"33",0.34,108,0.362862324027811
"34",0.34,111,0.363870653626406
"35",0.34,114,0.364859306310264
"36",0.34,117,0.365829277209579
"37",0.34,120,0.366781485216154
"38",0.34,123,0.367716780623324
"39",0.34,126,0.368635951832405
"40",0.34,129,0.369539731258972
"41",0.34,132,0.37042880055044
"42",0.34,135,0.371303795209265
"43",0.34,138,0.372165308701369
"44",0.34,141,0.373013896116458
"45",0.34,144,0.373850077437519
"46",0.34,147,0.374674340469597
"47",0.34,150,0.37548714346801
"48",0.34,153,0.376288917503371
"49",0.34,156,0.377080068594029
"50",0.34,159,0.377860979633143
"51",0.34,162,0.378632012132605
"52",0.34,165,0.37939350780607
"53",0.34,168,0.380145790007017
"54",0.34,171,0.380889165038461
"55",0.34,174,0.381623923347245
"56",0.34,177,0.382350340615089
"57",0.34,180,0.383068678757558
"58",0.34,183,0.383779186838576
"59",0.34,186,0.384482101910936
"60",0.34,189,0.385177649788176
"61",0.34,192,0.385866045755363
"62",0.34,195,0.386547495224386
"63",0.34,198,0.387222194338307
"64",0.34,201,0.387890330530673
"65",0.34,204,0.388552083042039
"66",0.34,207,0.389207623399506
"67",0.34,210,0.389857115861037
"68",0.34,213,0.39050071782748
"69",0.34,216,0.391138580226868
"70",0.34,219,0.391770847870655
"71",0.34,222,0.392397659786511
"72",0.34,225,0.393019149528522
"73",0.34,228,0.393635445466011
"74",0.34,231,0.394246671054402
"75",0.34,234,0.394852945087622
"76",0.34,237,0.395454381935443
"77",0.34,240,0.396051091763933
"78",0.34,243,0.396643180744859
"79",0.34,246,0.39723075124947
"80",0.34,249,0.397813902032444
"81",0.34,252,0.398392728403592
"82",0.34,255,0.39896732239042
"83",0.34,258,0.399537772890037
"84",0.34,261,0.400104165813149
"85",0.34,264,0.400666584219412
"86",0.34,267,0.401225108444906
"87",0.34,270,0.401779816223418
"88",0.34,273,0.402330782799824
"89",0.34,276,0.402878081037739
"90",0.34,279,0.403421781521908
"91",0.34,282,0.403961952654435
"92",0.34,285,0.404498660745684
"93",0.34,288,0.405031970101715
"94",0.34,291,0.40556194310552
"95",0.34,294,0.406088640295446
"96",0.34,297,0.406612120438811
"97",0.34,300,0.407132440602325
"98",0.34,303,0.407649656219118
"99",0.34,306,0.408163821151222
"100",0.34,309,0.408674987751137
"101",0.34,312,0.409183206918179
"102",0.34,315,0.409688528154531
"103",0.34,318,0.41019099961576
"104",0.34,321,0.41069066816222
"105",0.34,324,0.411187579404809
"106",0.34,327,0.411681777751636
"107",0.34,330,0.412173306450372
"108",0.34,333,0.412662207629679
"109",0.34,336,0.413148522338282
"110",0.34,339,0.413632290583608
"111",0.34,342,0.414113551366604
"112",0.34,345,0.414592342716936
"113",0.34,348,0.415068701725504
"114",0.34,351,0.415542664576554
"115",0.34,354,0.416014266577173
"116",0.34,357,0.416483542186818
"117",0.34,360,0.416950525044995
"118",0.34,363,0.417415247997563
