"","probability_first_option_wins","size","probability"
"1",0.51,11,0.527052274285027
"2",0.51,13,0.5293027250087
"3",0.51,15,0.531391593370418
"4",0.51,17,0.533349124133889
"5",0.51,19,0.535197163676659
"6",0.51,21,0.536952098987258
"7",0.51,23,0.538626594444811
"8",0.51,25,0.540230677368368
"9",0.51,27,0.541772447839898
"10",0.51,29,0.543258560397404
"11",0.51,31,0.544694561239475
"12",0.51,33,0.546085130604908
"13",0.51,35,0.547434261003238
"14",0.51,37,0.548745390895352
"15",0.51,39,0.550021506718676
"16",0.51,41,0.551265221961237
"17",0.51,43,0.552478839294935
"18",0.51,45,0.553664400002455
"19",0.51,47,0.554823723736043
"20",0.51,49,0.55595844082337
"21",0.51,51,0.557070018759897
"22",0.51,53,0.55815978411705
"23",0.51,55,0.559228940800445
"24",0.51,57,0.560278585374347
"25",0.51,59,0.561309720009125
"26",0.51,61,0.562323263487058
"27",0.51,63,0.563320060611081
"28",0.51,65,0.564300890291207
"29",0.51,67,0.565266472528146
"30",0.51,69,0.566217474473294
"31",0.51,71,0.567154515709861
"32",0.51,73,0.568078172874131
"33",0.51,75,0.56898898371468
"34",0.51,77,0.569887450671508
"35",0.51,79,0.570774044041861
"36",0.51,81,0.571649204790821
"37",0.51,83,0.572513347052412
"38",0.51,85,0.573366860364189
"39",0.51,87,0.574210111667119
"40",0.51,89,0.575043447101249
"41",0.51,91,0.575867193622418
"42",0.51,93,0.576681660459874
"43",0.51,95,0.57748714043558
"44",0.51,97,0.578283911159116
"45",0.51,99,0.57907223611293
"46",0.51,101,0.579852365640495
"47",0.51,103,0.580624537846942
"48",0.51,105,0.581388979421627
"49",0.51,107,0.582145906391398
"50",0.51,109,0.58289552481082
"51",0.51,111,0.583638031395752
"52",0.51,113,0.584373614106877
"53",0.51,115,0.58510245268588
"54",0.51,117,0.585824719151592
"55",0.51,119,0.586540578256767
"56",0.51,121,0.587250187911963
"57",0.51,123,0.587953699577336
"58",0.51,125,0.588651258626192
"59",0.51,127,0.589343004682964
"60",0.51,129,0.590029071937038
"61",0.51,131,0.590709589434719
"62",0.51,133,0.591384681352068
"63",0.51,135,0.592054467248403
"64",0.51,137,0.592719062304011
"65",0.51,139,0.59337857754172
"66",0.51,141,0.594033120034677
"67",0.51,143,0.594682793100106
"68",0.51,145,0.595327696482538
"69",0.51,147,0.595967926523977
"70",0.51,149,0.5966035763251
"71",0.51,151,0.59723473589612
"72",0.51,153,0.597861492298555
"73",0.51,155,0.598483929779555
"74",0.51,157,0.599102129897812
"75",0.51,159,0.599716171642022
"76",0.51,161,0.600326131543748
"77",0.51,163,0.600932083783066
"78",0.51,165,0.601534100288705
"79",0.51,167,0.602132250832859
"80",0.51,169,0.602726603121101
"81",0.51,171,0.603317222876908
"82",0.51,173,0.60390417392267
"83",0.51,175,0.60448751825529
"84",0.51,177,0.605067316119649
"85",0.51,179,0.605643626076459
"86",0.51,181,0.606216505067842
"87",0.51,183,0.606786008480107
"88",0.51,185,0.607352190201739
"89",0.51,187,0.607915102680436
"90",0.51,189,0.608474796976624
"91",0.51,191,0.609031322813864
"92",0.51,193,0.609584728628239
"93",0.51,195,0.610135061613917
"94",0.51,197,0.610682367768248
"95",0.51,199,0.61122669193328
"96",0.51,201,0.611768077836501
"97",0.51,203,0.612306568129124
"98",0.51,205,0.612842204423225
"99",0.51,207,0.613375027326578
"100",0.51,209,0.613905076476983
"101",0.51,211,0.614432390573832
